tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4	gene_name	is_mito
Brain_Spinal_cord_cervical_c-1	ENSG00000271904.1	F3	60	0.0793273742945381	0.123433856456314	0.0188709816543162	0.0286136031865288	0.749754184408303	ENSG00000271904	FALSE
Brain_Cerebellum	ENSG00000147804.10	ADHD	55	0.000670339057901482	0.00582551930449205	0.025292484486458	0.219052827788702	0.749158829362447	SLC39A4	FALSE
Brain_Putamen_basal_ganglia	ENSG00000173421.17	ADHD	150	0.0215532283100815	0.126918065889929	0.0151494384086949	0.088460871790638	0.747918395600656	IHO1	FALSE
Brain_Amygdala	ENSG00000167553.17	ADHD	90	0.00363950786585005	0.210823429651915	0.000659417620662513	0.0374502326795641	0.747427412182008	TUBA1C	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000269918.1	ASD	267	0.00597086668413338	0.0663785747727828	0.01501079429406	0.166129620937438	0.746510143311586	ENSG00000269918	FALSE
Brain_Caudate_basal_ganglia	ENSG00000160746.13	ADHD	83	0.0823845430249224	0.0865049064251601	0.043534835402184	0.0449695714617833	0.74260614368595	ANO10	FALSE
Brain_Cerebellum	ENSG00000145354.12	ADHD	396	2.85439599103006e-08	0.012149295292462	5.7844927457756e-07	0.245465607345308	0.742384490368996	CISD2	FALSE
Brain_Cerebellum	ENSG00000233609.3	ASD	900	5.92264902701264e-07	0.0188860209992562	7.51731209266254e-06	0.238968359249749	0.742137510173999	RPL10P19	FALSE
Brain_Hippocampus	ENSG00000168036.18	ADHD	88	0.000695044646846833	0.208974730329831	0.000167712085118304	0.0496844664799828	0.740478046458221	CTNNB1	FALSE
Brain_Amygdala	ENSG00000168036.18	ADHD	126	1.81306212514658e-07	0.21533927584929	4.12871756137648e-08	0.0483008485883747	0.736359652968947	CTNNB1	FALSE
Brain_Caudate_basal_ganglia	ENSG00000104643.10	ASD	147	0.0132196597961196	0.108846545965893	0.0154313583698867	0.126320798953242	0.736181636914859	MTMR9	FALSE
Brain_Substantia_nigra	ENSG00000174891.14	ADHD	62	0.0929751738995487	0.0510252787725077	0.0780021293950644	0.0420720655370054	0.735925352395874	RSRC1	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000164078.14	ADHD	614	3.83180056655052e-13	0.0174197302647969	5.50402587228285e-12	0.249485162342119	0.733095107387195	MST1R	FALSE
Brain_Caudate_basal_ganglia	ENSG00000261349.1	F3	49	0.00683421940619684	0.131730183092737	0.00646265115352209	0.123837036271523	0.731135910076021	ENSG00000261349	FALSE
Brain_Putamen_basal_ganglia	ENSG00000196072.12	F3	96	1.14619578542429e-34	0.230377645098933	1.96265258026105e-35	0.0387170917839593	0.730905263117109	BLOC1S2	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000164068.16	ADHD	87	0.0042789671095368	0.211635823659628	0.0010839637809264	0.0528822509351986	0.73011899451471	RNF123	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000271904.1	F3	107	4.11697174414265e-05	0.0268235258804309	0.000373585451677577	0.242674036863655	0.730087682086795	ENSG00000271904	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000272572.1	ADHD	112	2.54934732318657e-14	0.259284562858934	1.17088134535875e-15	0.0111790590113579	0.729536378129682	ENSG00000272572	FALSE
Brain_Substantia_nigra	ENSG00000196072.12	F3	92	5.09883533679455e-16	0.232061333367579	8.60376469481404e-17	0.0384284734477351	0.729510193184682	BLOC1S2	FALSE
Brain_Hypothalamus	ENSG00000173295.9	ASD	363	8.87037435260328e-05	0.0282350471352544	0.000761485813185318	0.241657218757941	0.729257544550093	FAM86B3P	FALSE
Brain_Cortex	ENSG00000174891.14	ASD	558	2.65421171279462e-05	0.0631950505644104	8.74823754637476e-05	0.207560702660165	0.729130222282833	RSRC1	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000169398.19	ADHD	436	1.08863813688607e-19	0.233968464000349	1.81233834448224e-20	0.0382226931044582	0.727808842895194	PTK2	FALSE
Brain_Cerebellum	ENSG00000171056.8	ASD	64	0.0214741830486285	0.201580509522611	0.00482385626169215	0.0445545003993028	0.727566950767766	SOX7	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000168036.18	ADHD	102	0.00178424673565132	0.22326747155618	0.000399213568279908	0.0492293206168541	0.725319747523034	CTNNB1	FALSE
Brain_Hippocampus	ENSG00000271904.1	F3	177	2.75702511716925e-14	0.000157491341574776	4.83828261499479e-11	0.275656182938358	0.724186325671657	ENSG00000271904	FALSE
Brain_Caudate_basal_ganglia	ENSG00000145002.13	ASD	48	0.0321448641031079	0.166690036165598	0.0136572292441225	0.0701033657845249	0.717404504702647	FAM86B2	FALSE
Brain_Hypothalamus	ENSG00000196072.12	F3	95	5.09490595916795e-20	0.24284499826977	8.71257105281153e-21	0.040811494674884	0.716343507055346	BLOC1S2	FALSE
Brain_Hypothalamus	ENSG00000145354.12	ADHD	370	1.55453186274855e-06	0.0152711324199902	2.74025859888032e-05	0.268476405680247	0.716223504781912	CISD2	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000174891.14	F3	311	6.82958460688828e-06	0.220814823891436	2.04460925178575e-06	0.065392730638169	0.713783571276536	RSRC1	FALSE
Brain_Cerebellum	ENSG00000196072.12	F3	111	1.07460830945206e-07	0.243723712350422	1.95598013269792e-08	0.0436494664547134	0.712626694174232	BLOC1S2	FALSE
Brain_Putamen_basal_ganglia	ENSG00000177352.10	ADHD	400	0.000859240189849787	0.145367290324035	0.000842274379940015	0.1417858488209	0.711145346285275	CCDC71	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000196072.12	F3	96	0.000135604992727309	0.247375514050077	2.38578721869822e-05	0.0428127378399024	0.709652285245106	BLOC1S2	FALSE
Brain_Substantia_nigra	ENSG00000174891.14	ASD	69	0.106563962663654	0.0656723386013031	0.0736909608485859	0.0447042743077436	0.709368463578714	RSRC1	FALSE
Brain_Caudate_basal_ganglia	ENSG00000184647.11	ASD	42	0.108797392504394	0.153121320813669	0.0127819489526931	0.0172812816979147	0.708018056031329	PRSS55	FALSE
Brain_Cerebellum	ENSG00000255495.1	ASD	84	0.058039410704757	0.173106246318731	0.0159715031785188	0.0469300747157147	0.705952765082279	ENSG00000255495	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000145354.12	ADHD	398	4.89702687259559e-10	0.0142478485904069	9.65557792535472e-09	0.280222502639893	0.705529638624421	CISD2	FALSE
Brain_Hippocampus	ENSG00000164078.14	ADHD	202	0.0135257893135422	0.0611164214883466	0.0400655670518665	0.180331726262193	0.704960495884052	MST1R	FALSE
Brain_Cerebellum	ENSG00000253893.2	ASD	1293	4.99685982139745e-21	0.0264531276158914	5.09632754653326e-20	0.269092593826597	0.704454278557509	FAM85B	FALSE
Brain_Hypothalamus	ENSG00000171056.8	ASD	61	0.0559845938189615	0.188136477064749	0.0120814756154257	0.039895951153188	0.703901502347676	SOX7	FALSE
Brain_Hypothalamus	ENSG00000177352.10	ADHD	227	0.0577140030732676	0.13994805735731	0.0292481184177684	0.0702195599283262	0.702870261223328	CCDC71	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000068885.15	ADHD	254	1.91999941532346e-05	0.0449923237474072	0.000107947385285914	0.252255978859339	0.702624550013814	IFT80	FALSE
Brain_Hypothalamus	ENSG00000243477.6	ADHD	56	7.46016593322484e-07	0.00580331291185528	3.75971183247904e-05	0.291768104620679	0.702390239332548	NAA80	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000253958.2	ASD	95	0.0228948371439186	0.163967589122296	0.0142802656334832	0.101574714941892	0.697282593158411	CLDN23	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000196072.12	F3	96	4.87528541844987e-18	0.25925855819871	8.33173669202247e-19	0.0436094851265118	0.69713195667478	BLOC1S2	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000196072.12	F3	94	1.78193611535016e-13	0.261537039456517	3.04041859341813e-14	0.0439300791224085	0.694532881420865	BLOC1S2	FALSE
Brain_Amygdala	ENSG00000196072.12	F3	88	6.5776758198361e-13	0.262713414992237	1.09810028179032e-13	0.0431641769266324	0.694122408080362	BLOC1S2	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000196072.12	F3	96	2.28025364819876e-26	0.262590355228284	3.90452116749875e-27	0.0442707009860288	0.693138943785686	BLOC1S2	FALSE
Brain_Substantia_nigra	ENSG00000271904.1	ASD	228	4.00054216529942e-08	0.23066335297587	1.33784276043989e-08	0.0764444768013724	0.692892116838908	ENSG00000271904	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000155087.4	F3	47	2.445023841391e-05	0.296856216742419	9.07874120061547e-07	0.0103299292378592	0.692788495907187	ODF1	FALSE
Brain_Caudate_basal_ganglia	ENSG00000196072.12	F3	97	3.03381418430561e-32	0.265379264264937	5.19544443089226e-33	0.04475666418757	0.689864071547495	BLOC1S2	FALSE
Brain_Hypothalamus	ENSG00000258017.3	ADHD	98	0.00172961508017624	0.258352053748794	0.000344401583830907	0.0507543353116044	0.688819594275595	ENSG00000258017	FALSE
Brain_Putamen_basal_ganglia	ENSG00000272572.1	ADHD	53	2.47950886917669e-05	0.301783170917587	9.04518407056787e-07	0.0103211018065623	0.687870027668751	ENSG00000272572	FALSE
Brain_Hypothalamus	ENSG00000168036.18	ADHD	80	0.00328515329525444	0.253593553944408	0.000720449242012548	0.0549267598037691	0.687474083714556	CTNNB1	FALSE
Brain_Cortex	ENSG00000196072.12	F3	96	6.92546849642375e-34	0.268003336635911	1.18364574366016e-34	0.0451181105045063	0.686878552859588	BLOC1S2	FALSE
Brain_Cortex	ENSG00000169398.19	ADHD	336	1.15173526424613e-07	0.271058739689135	1.84096431252853e-08	0.0426404499974609	0.686300676730235	PTK2	FALSE
Brain_Cortex	ENSG00000174891.14	F3	285	0.000181795523926297	0.242591589242672	5.48964731069792e-05	0.0725703521505012	0.684601366609794	RSRC1	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000272572.1	ADHD	51	0.000109716895416931	0.306920918929655	3.93912742790994e-06	0.010336645922012	0.682628779125489	ENSG00000272572	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000068885.15	ADHD	79	0.0330698096007715	0.203482551803916	0.0115323630961868	0.0702783928081563	0.681636882690969	IFT80	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000271904.1	ADHD	137	0.0331760014429234	0.151271818202483	0.0250714290464457	0.113640753800384	0.676839997507764	ENSG00000271904	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000068885.15	ADHD	35	0.174974467161459	0.0717585673356511	0.0565431351885372	0.0225146276580465	0.674209202656306	IFT80	FALSE
Brain_Caudate_basal_ganglia	ENSG00000169398.19	ADHD	483	4.45691351265505e-26	0.279121248668754	7.6141246738376e-27	0.0470107905017275	0.673867960829517	PTK2	FALSE
Brain_Caudate_basal_ganglia	ENSG00000255020.1	ASD	448	2.81515505141808e-12	0.0412274625115634	1.96597180059772e-11	0.287241664768534	0.671530872697429	TDH-AS1	FALSE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000160746.13	ADHD	96	0.0318726757942654	0.137841083777268	0.0299928942245674	0.129040261323809	0.67125308488009	ANO10	FALSE
Brain_Spinal_cord_cervical_c-1	ENSG00000168036.18	ADHD	96	6.60338843313075e-05	0.271243119516109	1.45877287866966e-05	0.0592516462561873	0.669424612614586	CTNNB1	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000168036.18	ADHD	128	0.00187767914398015	0.263502685286232	0.000470816890600667	0.0654029871102021	0.668745831568985	CTNNB1	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000154316.16	ASD	370	2.45212687717474e-05	0.0902507639312066	6.58864739647559e-05	0.241827965884582	0.667830862441475	TDH	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000178149.17	ADHD	345	1.96995967725339e-05	0.168354467190373	1.94137875713328e-05	0.16524555603817	0.666360863387113	DALRD3	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000225399.4	ADHD	30	0.190115813888994	0.0723330557270954	0.0520529507499746	0.0191381418094341	0.666360037824502	ENSG00000225399	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000171056.8	ASD	271	0.000379547813412154	0.1785903566552	0.000329530085233349	0.154388976231758	0.666311589214397	SOX7	FALSE
Brain_Putamen_basal_ganglia	ENSG00000255020.1	ASD	1010	2.0119127067432e-15	0.0402841332682059	1.4718915844828e-14	0.294048295648714	0.665667571083066	TDH-AS1	FALSE
Brain_Frontal_Cortex_BA9	ENSG00000272572.1	ADHD	111	9.74780142800167e-08	0.324945011854889	3.75987155953994e-09	0.0118704265031712	0.663184460404055	ENSG00000272572	FALSE
Brain_Cerebellar_Hemisphere	ENSG00000178057.15	ADHD	52	0.184809191886296	0.0448658261918624	0.0883806465574403	0.0207948760050568	0.661149459359345	NDUFAF3	TRUE
Brain_Hippocampus	ENSG00000248971.2	ADHD	97	0.0301919952285793	0.110896100740798	0.0429672140461941	0.157161077623832	0.658783612360596	KRT8P46	FALSE
Brain_Hypothalamus	ENSG00000164733.22	ASD	232	0.000879639953698474	0.0315094369993035	0.00841273512174453	0.300692685056288	0.658505502868965	CTSB	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000178252.19	ADHD	114	0.0645545701813302	0.202624531250379	0.0186818290099637	0.0579825554378088	0.656156514120519	WDR6	FALSE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000285416.1	ADHD	475	1.23197578979146e-05	0.174109363605125	1.20686812200664e-05	0.169905053412291	0.655961194543466	ENSG00000285416	FALSE
